epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,4402.06,1.0183,1.32996,0.51893,0.95703,0.91912,0.85833,0.92128,0.66799,0.89349,0.82687,0.87663,0.47387,1.06855,1.51605,0.56362,1.03319,0.0005348,0.0005348,0.0005348
39,4606.9,0.9838,1.29908,0.50285,0.95956,0.90665,0.8516,0.91607,0.68333,0.87312,0.81952,0.87141,0.49912,0.99695,1.4675,0.5737,1.00837,0.0004952,0.0004952,0.0004952
40,4773.14,0.99975,1.2986,0.49372,0.95308,0.92501,0.86572,0.92288,0.68308,0.90302,0.83716,0.88215,0.50204,1.01082,1.48619,0.55966,1.02232,0.0004556,0.0004556,0.0004556
41,4865.61,1.01837,1.35926,0.52228,0.97949,0.92472,0.85802,0.91916,0.68177,0.8997,0.82747,0.87753,0.50128,0.9721,1.46153,0.55757,1.00167,0.000416,0.000416,0.000416
42,4922.09,1.01169,1.3595,0.50535,0.98672,0.91607,0.87547,0.92834,0.67531,0.89747,0.83556,0.88259,0.48935,1.02697,1.50628,0.55495,1.01982,0.0003764,0.0003764,0.0003764
43,4981.45,1.01283,1.35037,0.50194,0.97776,0.92167,0.86197,0.92045,0.67418,0.88613,0.82754,0.87216,0.48042,1.01363,1.49306,0.55818,1.00982,0.0003368,0.0003368,0.0003368
44,5032.03,0.99591,1.31442,0.50346,0.96901,0.92605,0.86965,0.92193,0.68042,0.89363,0.83112,0.87458,0.49702,0.99251,1.47851,0.55586,1.00192,0.0002972,0.0002972,0.0002972
45,5104.68,0.9844,1.30382,0.49686,0.96531,0.93284,0.86397,0.92476,0.68368,0.90795,0.82721,0.87801,0.49632,1.01254,1.48457,0.55103,1.02006,0.0002576,0.0002576,0.0002576
46,5203.21,0.97742,1.29861,0.48299,0.97021,0.91586,0.86898,0.92443,0.67983,0.87901,0.83283,0.87356,0.49189,1.00045,1.47385,0.54904,1.00908,0.000218,0.000218,0.000218
47,5254.83,0.98225,1.30552,0.48823,0.95649,0.92237,0.85628,0.92465,0.68424,0.89512,0.82086,0.87484,0.4866,0.99951,1.46622,0.54426,1.00908,0.0001784,0.0001784,0.0001784
48,5303.17,0.98196,1.29571,0.4877,0.95585,0.91782,0.86225,0.92161,0.67855,0.88387,0.82888,0.87409,0.48693,1.0149,1.48154,0.54632,1.01417,0.0001388,0.0001388,0.0001388
49,5487.07,0.96257,1.27931,0.47751,0.95546,0.91564,0.85612,0.92056,0.68395,0.88169,0.82197,0.87335,0.49617,0.9883,1.47463,0.53706,1.00705,9.92e-05,9.92e-05,9.92e-05
50,5590.04,0.97262,1.29118,0.48229,0.96569,0.9064,0.85963,0.91944,0.68002,0.87401,0.82119,0.86593,0.48614,0.99137,1.47269,0.53886,1.00392,5.96e-05,5.96e-05,5.96e-05
