epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3551,1.32676,1.86798,1.02363,1.07457,0.47177,0.80448,0.44518,0.29747,0.46261,0.77885,0.42573,0.23168,1.209,1.97827,3.07251,1.14108,0.000657895,0.000657895,0.000657895
2,176.501,1.26675,1.69921,0.72467,1.06919,0.3084,0.77172,0.26992,0.16604,0.29608,0.72794,0.25131,0.12784,1.27122,1.96999,4.25421,1.17517,0.00129834,0.00129834,0.00129834
3,347.481,1.25208,1.70932,0.71036,1.05981,0.88996,0.80214,0.86065,0.57285,0.88163,0.77607,0.82743,0.44587,1.30776,2.25794,0.74181,1.24216,0.00191238,0.00191238,0.00191238
4,494.065,1.26012,1.70788,0.69079,1.05603,0.87231,0.8379,0.88268,0.55491,0.8366,0.78374,0.81958,0.38559,1.35762,2.01914,0.72397,1.14952,0.0018812,0.0018812,0.0018812
5,598.452,1.24478,1.65652,0.67721,1.05355,0.91066,0.82453,0.89435,0.59785,0.90345,0.78189,0.85203,0.43868,1.28673,1.81116,0.66406,1.17066,0.0018416,0.0018416,0.0018416
6,771.405,1.20177,1.63492,0.66804,1.0467,0.90129,0.8135,0.88939,0.60157,0.87202,0.77885,0.8406,0.43229,1.26957,1.76423,0.72323,1.12558,0.001802,0.001802,0.001802
7,877.586,1.18216,1.57437,0.6476,1.03168,0.90941,0.84191,0.89459,0.60912,0.88572,0.80114,0.84407,0.45649,1.22908,1.80382,0.68396,1.10223,0.0017624,0.0017624,0.0017624
8,962.678,1.15065,1.52694,0.61502,1.01416,0.91519,0.84225,0.89937,0.63248,0.88945,0.80047,0.84929,0.44903,1.14121,1.65709,0.62268,1.06266,0.0017228,0.0017228,0.0017228
9,1098.01,1.14697,1.52355,0.62844,1.01328,0.91081,0.8601,0.90475,0.64968,0.89054,0.82119,0.85802,0.4819,1.09798,1.62461,0.64301,1.05716,0.0016832,0.0016832,0.0016832
10,1188.05,1.14117,1.53104,0.6179,1.01454,0.92326,0.84437,0.90212,0.64798,0.89927,0.8135,0.86651,0.49163,1.12157,1.60467,0.63533,1.08605,0.0016436,0.0016436,0.0016436
11,1322.03,1.1528,1.55055,0.61331,1.01104,0.91624,0.84592,0.90199,0.64815,0.90122,0.81484,0.8653,0.48817,1.1048,1.61905,0.6612,1.05862,0.001604,0.001604,0.001604
12,1468.68,1.07355,1.44688,0.57999,0.98929,0.90259,0.85162,0.90867,0.64063,0.86314,0.81364,0.85503,0.45037,1.13837,1.62687,0.63709,1.04605,0.0015644,0.0015644,0.0015644
13,1613.52,1.10794,1.48436,0.58431,1.00352,0.90036,0.86072,0.9039,0.631,0.89428,0.81517,0.85594,0.45605,1.15785,1.67975,0.62981,1.07761,0.0015248,0.0015248,0.0015248
14,1739.35,1.13289,1.47635,0.58713,0.99309,0.92288,0.85186,0.90856,0.64928,0.89936,0.81551,0.86724,0.48175,1.13226,1.56185,0.6194,1.05711,0.0014852,0.0014852,0.0014852
15,1822.65,1.12191,1.49116,0.58994,1.00138,0.91243,0.85663,0.91093,0.65781,0.8976,0.82035,0.87559,0.48412,1.13122,1.60509,0.60227,1.09864,0.0014456,0.0014456,0.0014456
16,1916.05,1.09822,1.46146,0.5884,0.99619,0.91525,0.85183,0.91337,0.66279,0.89952,0.81885,0.87357,0.50363,1.08538,1.61284,0.60464,1.05182,0.001406,0.001406,0.001406
17,1999.44,1.1071,1.4583,0.57253,0.99226,0.92499,0.85762,0.91062,0.67033,0.89557,0.82052,0.86831,0.49653,1.00758,1.54128,0.60253,1.01376,0.0013664,0.0013664,0.0013664
18,2120.99,1.09629,1.45031,0.57214,0.98927,0.9292,0.85227,0.91463,0.65663,0.89592,0.81283,0.85789,0.47478,1.0755,1.59887,0.60228,1.02772,0.0013268,0.0013268,0.0013268
19,2228.93,1.09241,1.47171,0.56933,0.99635,0.91556,0.8589,0.91038,0.65342,0.89242,0.82687,0.86999,0.47013,1.09089,1.57624,0.61976,1.03589,0.0012872,0.0012872,0.0012872
20,2349.88,1.09683,1.44972,0.57692,0.99187,0.92332,0.84519,0.9087,0.64856,0.89025,0.80314,0.85632,0.46281,1.08308,1.57098,0.61446,1.0414,0.0012476,0.0012476,0.0012476
21,2539.8,1.07979,1.42414,0.56045,0.98412,0.922,0.85394,0.91391,0.65409,0.90133,0.81517,0.86836,0.48067,1.10462,1.6126,0.59667,1.0566,0.001208,0.001208,0.001208
22,2664.24,1.11097,1.45026,0.56553,0.99816,0.91001,0.85167,0.91133,0.65484,0.87318,0.80771,0.86034,0.48221,1.05494,1.53084,0.60407,1.03006,0.0011684,0.0011684,0.0011684
23,2732.04,1.06282,1.43306,0.56307,0.98436,0.92258,0.86297,0.91575,0.66942,0.88997,0.8245,0.86626,0.476,1.03608,1.52527,0.5848,1.02034,0.0011288,0.0011288,0.0011288
24,2806.73,1.04879,1.38894,0.53902,0.97326,0.9216,0.84626,0.9133,0.64201,0.88587,0.80247,0.85663,0.45153,1.16448,1.58038,0.60542,1.06396,0.0010892,0.0010892,0.0010892
25,3040.65,1.05939,1.41911,0.54368,0.97732,0.90879,0.84525,0.91321,0.66859,0.88052,0.80791,0.86307,0.47629,1.02947,1.52438,0.58085,1.02052,0.0010496,0.0010496,0.0010496
26,3203.38,1.05232,1.38466,0.54354,0.97679,0.91221,0.84559,0.91343,0.6636,0.87679,0.80615,0.85898,0.47268,1.06002,1.53495,0.59819,1.02584,0.00101,0.00101,0.00101
27,3260.23,1.06942,1.42435,0.54811,0.98073,0.91261,0.86197,0.91646,0.66511,0.89447,0.82999,0.86841,0.48213,1.03525,1.50765,0.56691,1.02179,0.0009704,0.0009704,0.0009704
28,3392.65,1.03073,1.35994,0.5303,0.96834,0.93015,0.85893,0.91988,0.68025,0.90354,0.83189,0.88213,0.50596,0.98992,1.49569,0.57352,1.00711,0.0009308,0.0009308,0.0009308
29,3474.68,1.0716,1.40181,0.55376,0.97539,0.91047,0.86564,0.91584,0.65088,0.87023,0.8242,0.85951,0.45491,1.08477,1.57845,0.5822,1.0293,0.0008912,0.0008912,0.0008912
30,3610.29,1.03727,1.36248,0.53658,0.97311,0.91864,0.8529,0.9171,0.67554,0.88522,0.81918,0.8676,0.49577,1.00812,1.49209,0.57852,1.01114,0.0008516,0.0008516,0.0008516
31,3719.79,1.03805,1.38147,0.54348,0.97252,0.90905,0.85094,0.91509,0.66665,0.88257,0.81892,0.87272,0.48799,1.08469,1.58151,0.57765,1.07407,0.000812,0.000812,0.000812
32,3836.13,1.03135,1.34976,0.52435,0.96968,0.92538,0.86163,0.91597,0.67163,0.89581,0.82183,0.87011,0.49146,1.05573,1.50991,0.56658,1.04303,0.0007724,0.0007724,0.0007724
33,3890.4,1.02316,1.34547,0.52167,0.9653,0.92677,0.85261,0.91362,0.65568,0.8943,0.81156,0.86314,0.46305,1.07574,1.53791,0.58142,1.02827,0.0007328,0.0007328,0.0007328
34,3983.79,0.991,1.30604,0.4994,0.95373,0.91718,0.84391,0.91596,0.67951,0.89041,0.8147,0.87646,0.50997,1.02513,1.53513,0.56886,1.0321,0.0006932,0.0006932,0.0006932
35,4084.9,1.01495,1.331,0.50909,0.9609,0.91894,0.86531,0.91985,0.67615,0.89428,0.83055,0.87053,0.48752,0.99656,1.50345,0.56031,1.00687,0.0006536,0.0006536,0.0006536
36,4233.17,1.0309,1.37091,0.52086,0.96517,0.93021,0.85532,0.92223,0.68083,0.90705,0.81952,0.87902,0.49262,0.99818,1.47912,0.55869,1.00953,0.000614,0.000614,0.000614
37,4300.81,0.99465,1.31143,0.50445,0.96,0.91938,0.87659,0.92484,0.68577,0.89207,0.84024,0.88206,0.49824,1.00077,1.50008,0.55241,1.03328,0.0005744,0.0005744,0.0005744
