epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,310.117,1.10077,1.52273,0.60359,0.91629,0.9111,0.84263,0.89871,0.64114,0.89394,0.81885,0.8784,0.49999,1.06806,1.46286,0.61519,0.92476,0.0008516,0.0008516,0.0008516
31,319.984,1.09052,1.52303,0.6046,0.91339,0.89939,0.84549,0.89814,0.64132,0.87987,0.8232,0.87406,0.48672,1.05493,1.52697,0.60983,0.9281,0.000812,0.000812,0.000812
32,330.352,1.09062,1.51402,0.59274,0.91588,0.90919,0.8533,0.9016,0.6446,0.89154,0.83122,0.87909,0.49828,1.04266,1.45926,0.61241,0.92326,0.0007724,0.0007724,0.0007724
33,340.293,1.0854,1.51039,0.59113,0.91335,0.92054,0.84459,0.90053,0.63319,0.90033,0.82821,0.88069,0.49136,1.08951,1.48438,0.60829,0.92684,0.0007328,0.0007328,0.0007328
34,350.14,1.05104,1.46136,0.57106,0.89952,0.91124,0.84659,0.90004,0.65027,0.8958,0.81601,0.87691,0.48616,0.9945,1.44487,0.59768,0.90861,0.0006932,0.0006932,0.0006932
35,360.065,1.06898,1.48391,0.57459,0.90612,0.91476,0.83567,0.89954,0.64261,0.8883,0.81069,0.87262,0.49127,1.0023,1.46339,0.60414,0.91058,0.0006536,0.0006536,0.0006536
36,370.053,1.09861,1.52353,0.59069,0.91548,0.91647,0.85027,0.90196,0.64322,0.89678,0.82955,0.87802,0.48573,1.03676,1.47476,0.60965,0.92007,0.000614,0.000614,0.000614
37,379.886,1.05406,1.46825,0.5723,0.90737,0.91649,0.85862,0.90487,0.65539,0.90128,0.84225,0.88648,0.5014,0.99767,1.44884,0.59092,0.91339,0.0005744,0.0005744,0.0005744
38,389.897,1.08084,1.49456,0.58237,0.90591,0.91171,0.84903,0.90026,0.64204,0.89626,0.82888,0.88137,0.4903,1.04354,1.46722,0.6003,0.91912,0.0005348,0.0005348,0.0005348
39,400.108,1.03612,1.4484,0.57096,0.90824,0.9152,0.84409,0.90042,0.65572,0.8928,0.82673,0.87987,0.49635,0.99219,1.44293,0.59754,0.91135,0.0004952,0.0004952,0.0004952
40,410.817,1.05895,1.46114,0.56354,0.90414,0.91453,0.8506,0.90302,0.65028,0.89515,0.82787,0.88099,0.49231,1.02838,1.45902,0.59377,0.92176,0.0004556,0.0004556,0.0004556
41,1789.75,1.07718,1.52386,0.60353,0.91626,0.91347,0.77908,0.83808,0.60317,0.89782,0.75401,0.81442,0.44849,0.99273,1.45726,0.60616,0.91415,0.000416,0.000416,0.000416
42,1803.29,1.0669,1.49226,0.58565,0.92061,0.92842,0.8486,0.90616,0.64068,0.91981,0.82787,0.88401,0.49194,1.05513,1.48041,0.58516,0.92383,0.0003764,0.0003764,0.0003764
43,1812.95,1.05498,1.48566,0.58588,0.91117,0.90678,0.84857,0.90321,0.64311,0.88895,0.82939,0.88147,0.48003,1.0236,1.42807,0.60239,0.91262,0.0003368,0.0003368,0.0003368
44,1822.01,1.04432,1.46771,0.57151,0.9089,0.91336,0.85264,0.90508,0.64556,0.89783,0.82921,0.88195,0.4923,1.04365,1.46203,0.58711,0.91676,0.0002972,0.0002972,0.0002972
45,1831.08,1.04254,1.4581,0.57085,0.90641,0.91186,0.83957,0.90011,0.64651,0.89137,0.8125,0.87506,0.48717,1.0495,1.49468,0.60596,0.92754,0.0002576,0.0002576,0.0002576
46,1840.35,1.029,1.44475,0.55783,0.9075,0.91177,0.8496,0.90103,0.64699,0.88349,0.83639,0.87812,0.48484,1.02297,1.43214,0.58853,0.91302,0.000218,0.000218,0.000218
47,1849.26,1.03958,1.45048,0.56622,0.90232,0.9052,0.85204,0.90224,0.64798,0.88746,0.82052,0.87294,0.48543,1.01894,1.42681,0.58378,0.91062,0.0001784,0.0001784,0.0001784
48,1858.37,1.04656,1.4603,0.56645,0.90194,0.9023,0.85795,0.90348,0.64729,0.87889,0.82223,0.86983,0.47637,1.01899,1.42867,0.5937,0.9095,0.0001388,0.0001388,0.0001388
49,1867.54,1.02129,1.44407,0.55351,0.90266,0.90916,0.85635,0.90444,0.65638,0.89717,0.82353,0.88037,0.49187,1.00171,1.43413,0.58579,0.90897,9.92e-05,9.92e-05,9.92e-05
50,1876.41,1.02562,1.42552,0.55641,0.90793,0.90952,0.85862,0.90507,0.65199,0.89264,0.83021,0.87657,0.48463,1.02027,1.4364,0.58564,0.91055,5.96e-05,5.96e-05,5.96e-05
